text
真面目そうな人ほど「若者が幸せになる為に政治を変える！」という無理ゲーにハマりますよね。考え方や生活習慣や住む国やパートナーを変えるとか、若者が幸せになる手段を教えた方が現実的だと思います。日本人女性の平均年齢は50歳超え… https://t.co/vxbChBe4mK
「モンスターハンター面白い!」となると、臆面なくパクって面白そうなゲームを作る中国文化。UberパクったりAirbnbパクったりTwitterパクったりする事で、中国の企業が利益を上げ従業員の給料も上がる。パクリでも国内産業を… https://t.co/mdTAB74IyG
小選挙区制では、若者票を集めて支持率20%取ったとしても、落選して終わりです。。というのを昨日の選挙を見ればわかりますよね。多数派を代表する人だけが勝つのが小選挙区制度ですよ。。。と。https://t.co/so7iOGt8DL
フランス時間で深夜3時()から11時までテレビ東京収録。12時20分からアベプラ特番なので、お昼を食べようと思ってたら、サマータイム時間変更で11時20分からに。。睡眠不足＆12時間食事なしという不機嫌になる条件をばっちり満… https://t.co/VOy6HY2LhM
10年前のニコニコ動画時代は、回線が悪く音質も悪かったので、ゆっくりハキハキ喋るのが聴きやすい時代。今は回線が良く、スマホのスピーカーの性能がいいので若い人は1.5倍速で聞くのが当たり前の時代。ゆっくり喋るとまどろっこしいとい… https://t.co/jokxQKWBAh
マニアック過ぎる。。。 https://t.co/HsNfPqkOce
RT @marcheronline: 事実を直視するのを「喧嘩はやめよう」とか言って止めようとする人は、損してる人を見て見ぬ振りして切り捨てる偽善者。
働いてる人は、本来の給料の18.3%が厚生年金保険料として取られてます。労働者の将来の積み立てではなく、現在の高齢者の年金に使われるお金です。「分断を煽るな」という人は、若者が搾取される事に対して「若者は文句言うな。黙って金… https://t.co/8cZ66hdAHt
「ネット投票」とか「若者は2票」とか理想の選挙案を言う人は居ますが、既存の高齢者票で受かった政治家が自分が落ちる可能性のある選挙制度に変える事はないです。そして、高齢者と信者の支持する政治家が当選し続けると。。。https://t.co/yIKVyaT3K8
RT @naikaiK: ひろゆきさん(@hirox246)の本を読んで思ったことを書いてみました。「僕が親ならこう育てるね」を読んで考えたことの話 - 自由な医師生活。 https://t.co/GmhSHffAL6
RT @shigeruishiba: 皆様こちらのリンクからご覧くださいませ🙇‍♂️
現状、学校に通っている子供たちが新型コロナの感染を防ぐのはかなり難しいです。ワクチンを打てない体質の高齢者と同居してる場合や、肥満などの重篤化リスク要因を持ってる児童は、ワクチンを接種した方が不幸は防げると思います。 https://t.co/ZloYWFutE3
女性に翻弄されがちな小学生です。 https://t.co/M0kdhaBylL
アメリカでは、ファイザーの新型コロナワクチンが5歳から接種できるようになりました。欧州も時間の問題で追随するので、日本も来年ぐらいには小学生への接種がはじまる予感。 https://t.co/En4LIUs678
全体が下がってる時代は、みんなと同じことをやっていると同じように下がっていくので、他の人がやらないことに目を向けないといけない時代だったりしますよね。。。と。https://t.co/oa4Xr9cil8
「海外に売れるものを作ろう」と頑張っていた昭和ですが、安かろう悪かろうで日本国内でしか売れないものを作ってるので、経済成長もしてない日本です。商品を買うと、メーカーはその商品を増やそうとするので、粗悪品を買う人は粗悪品を増やす… https://t.co/GlKLHZeGTF
既に妊娠してるのに妊活中として記事を書いてた、はあちゅうさん。「そらあかんやろ」と書いたトイアンナさん。トイアンナさんと記事を載せたガジェット通信が、はあちゅうさんから訴えられる。東京地裁「妊娠してるのに『リアルタイムで… https://t.co/Ed2S8ctOYb
先日、はあちゅうさんに訴えられて勝訴した某ブラジル社とトイアンナさん。今度は、青汁王子さんとコレコレさんの所属するライバー社が揉めてるのですが、某ブラジル社がライバー社に訴えられました、、、という話を解説する青汁王子。https://t.co/V1vKPNOBaW
